Character   Count
=================

the         :1507x
first,'     :   2x
summer      :   2x
delightful  :   2x
Fish-Footman:   2x
digging     :   2x
knows       :   2x
Longitude   :   2x
witness.'   :   2x
grinned     :   2x
treading    :   2x
repeated,   :   2x
became      :   2x
body        :   2x
life,       :   2x
we've       :   2x
twelve      :   2x
gravely,    :   2x
bank,       :   2x
once.'      :   2x
joined      :   2x
neither     :   2x
OLD,        :   2x
row         :   2x
six         :   2x
Next        :   2x
and--oh     :   2x
sulky       :   2x
assembled   :   2x
personal    :   2x
singing     :   2x
laid        :   2x
smiled      :   2x
business    :   2x
them.       :   2x
next,       :   2x
parchment   :   2x
again;      :   2x
dipped      :   2x
guests      :   2x
`Found      :   2x
`Nobody     :   2x
sorrowful   :   2x
wink        :   2x
`One,       :   2x
then.'      :   2x
`Get        :   2x
"There      :   2x
jurymen     :   2x
direction   :   2x
mean,'      :   2x
friends     :   2x
listening,  :   2x
done,'      :   2x
door.       :   2x
yet.'       :   2x
caused      :   2x
neatly      :   2x
wine,'      :   2x
Caterpillar,:   2x
agree       :   2x
me?'        :   2x
finished,   :   2x
high,'      :   2x
`what       :   2x
paw,        :   2x
subject.    :   2x
trembled    :   2x
'tis        :   2x
wow!        :   2x
`poison,'   :   2x
master      :   2x
`are        :   2x
`'Tis       :   2x
smoking     :   2x
tears.      :   2x
started     :   2x
said;       :   2x
wood        :   2x
is,'        :   2x
closed      :   2x
do.         :   2x
violent     :   2x
bit,        :   2x
rattling    :   2x
sea         :   2x
lonely      :   2x
fine        :   2x
quiet       :   2x
corner,     :   2x
catching    :   2x
you?        :   2x
on?'        :   2x
either,     :   2x
time!       :   2x
procession  :   2x
`Explain    :   2x
hungry      :   2x
`Does       :   2x
sobbing     :   2x
bit.        :   2x
pool,       :   2x
LITTLE      :   2x
be?'        :   2x
hurry;      :   2x
thump!      :   2x
place,      :   2x
creature    :   2x
are,        :   2x
confusion,  :   2x
mixed       :   2x
remarking   :   2x
ordered     :   2x
flowers     :   2x
morning,    :   2x
holding     :   2x
lady        :   2x
minutes.    :   2x
here?       :   2x
forget      :   2x
apples,     :   2x
throwing    :   2x
ear         :   2x
thoughtfully.:   2x
this:--     :   2x
addressed   :   2x
doubtful    :   2x
Majesty     :   2x
bit,'       :   2x
pleasure    :   2x
surprise,   :   2x
presents    :   2x
regular     :   2x
year        :   2x
wildly      :   2x
"You        :   2x
IN          :   2x
alone       :   2x
guinea-pigs,:   2x
editions    :   2x
teacups     :   2x
front       :   2x
words:--    :   2x
chimney,    :   2x
Footman,    :   2x
You're      :   2x
messages    :   2x
`Oh!        :   2x
ground      :   2x
King:       :   2x
entirely    :   2x
wretched    :   2x
cautiously  :   2x
ONE         :   2x
much,       :   2x
directed    :   2x
`Your       :   2x
think?'     :   2x
together.   :   2x
worse       :   2x
confusing   :   2x
rule        :   2x
suppose?'   :   2x
burn        :   2x
week        :   2x
chorus      :   2x
"What       :   2x
slowly,     :   2x
change,     :   2x
fancied     :   2x
`he         :   2x
delight,    :   2x
rose-tree,  :   2x
trees,      :   2x
blasts      :   2x
down.       :   2x
NEVER       :   2x
use,        :   2x
back!'      :   2x
knocking,'  :   2x
pocket,     :   2x
waited.     :   2x
straight    :   2x
thoroughly  :   2x
belongs     :   2x
`One        :   2x
air         :   2x
him!        :   2x
pinched     :   2x
introduce   :   2x
learnt      :   2x
evening,    :   2x
liked,      :   2x
passage,    :   2x
`No,'       :   2x
growl,      :   2x
longer      :   2x
room!'      :   2x
suddenly:   :   2x
leaves      :   2x
again?'     :   2x
`What's     :   2x
twist       :   2x
first;      :   2x
startled    :   2x
hurriedly   :   2x
him.        :   2x
guess       :   2x
race        :   2x
`Speak      :   2x
listen.     :   2x
silent,     :   2x
distance.   :   2x
King's      :   2x
curiosity,  :   2x
slipped     :   2x
mad.        :   2x
lovely      :   2x
boy,        :   2x
over,       :   2x
YOU?'       :   2x
music.'     :   2x
ME'         :   2x
what's      :   2x
Pigeon,     :   2x
broke       :   2x
Pigeon;     :   2x
sure,       :   2x
otherwise   :   2x
snatch      :   2x
passion,    :   2x
changing    :   2x
move        :   2x
instead     :   2x
`Here!      :   2x
curled      :   2x
beheaded!'  :   2x
best,       :   2x
invitation  :   2x
questions   :   2x
`Exactly    :   2x
now?'       :   2x
tells       :   2x
